osm_id,certificateNumber,registrationDate,construction_year,source_key
relation/6171462,0107-3849-7879-9107-3451,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0098-0017-7397-0847-1984,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,8505-0190-4439-8607-4773,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0501-3849-7378-9107-8571,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0798-8055-7337-0847-1944,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0098-8025-7327-0347-1964,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,8107-7137-0140-9469-7906,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,8500-8190-5439-8807-5773,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0405-3849-7473-9107-0591,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0898-8095-7347-0647-1904,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,8505-2190-5439-4407-7773,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0598-0036-7357-0647-1914,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0806-3849-7374-9107-0631,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0703-3849-7672-9107-7545,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0398-4065-7337-0047-1910,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0705-3849-7870-9107-5545,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0698-0085-7347-0347-1904,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,0998-7085-7387-0847-1994,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,8627-7137-0900-7429-5902,2013-03-01,2012,/sap_building_parts[0]/construction_year
relation/6171462,8737-7132-0340-3484-6902,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8606-5140-3439-9307-3273,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8227-7132-0330-4404-6902,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8437-7132-0250-9424-6906,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8917-7132-0220-1424-7906,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8508-8140-7439-9407-8273,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8717-7132-0790-2444-4902,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0548-5035-7362-0547-1904,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0848-8084-7302-0547-1960,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0402-3844-7724-9107-4455,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8367-7132-0240-4464-6906,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0707-3844-7729-9107-2415,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8502-0140-2439-7407-8273,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0148-3027-7322-0247-1954,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0905-3844-7528-9107-4541,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8507-5140-7439-0207-9273,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,8506-1140-6439-3807-6273,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0948-1027-7312-0147-1940,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0506-3844-7728-9107-9455,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171462,0748-4026-7352-0447-1940,2013-02-04,2012,/sap_building_parts[0]/construction_year
relation/6171463,2748-9037-7371-0947-1904,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,8702-5140-8439-8327-8173,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2648-5037-7371-0847-1964,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,0508-3844-7314-9127-3721,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2848-3060-7301-0747-2960,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,0000-3844-7016-9127-5995,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,8703-9140-2439-6727-0173,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2148-8077-7331-0047-1994,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2148-6077-7341-0447-1920,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,0102-3844-7713-9127-8741,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2948-6064-7301-0047-2924,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,8007-0240-2439-1627-3173,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2248-0019-7371-0747-1924,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,8701-0140-1439-1827-2173,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2548-0087-7341-0547-1920,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2348-8087-7351-0647-1910,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,8907-7131-0830-5454-7926,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2948-8064-7301-0447-2960,2013-09-24,2012,/sap_building_parts[0]/construction_year
relation/6171463,2648-1060-7351-0847-2984,2013-09-24,2012,/sap_building_parts[0]/construction_year
