osm_id,cell,u_roof,total_t,engaged,timestep_used,result,ctf_severe_present,verbatim_severe_line,end_line,annual_site_eui_kwh_m2,thermal_mass_false_eui_ref,pct_delta_vs_thermal_mass_false,run_dir,elapsed_s
way/772627044,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 165905 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.83sec,97.40555555555557,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627044,7.01
way/772627046,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 156459 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.68sec,133.825,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627046,6.86
way/772627047,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 169755 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.99sec,91.14166666666667,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627047,7.18
way/772627048,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 166401 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.86sec,96.43055555555554,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627048,7.04
way/772627049,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 155061 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.76sec,143.80833333333334,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627049,6.95
way/772627050,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 160872 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.78sec,109.01388888888889,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627050,6.96
way/772627051,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 161454 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.81sec,107.325,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627051,6.99
way/772627052,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 160968 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.54sec,108.82777777777777,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627052,6.73
way/772627053,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 165491 Warning; 0 Severe Errors; Elapsed Time=00hr 00min  6.63sec,98.44166666666666,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627053,6.82
way/772627054,nyc_rural,0.119,1.008403,True,4,PASS,False,,EnergyPlus Completed Successfully-- 170976 Warning; 1 Severe Errors; Elapsed Time=00hr 00min  6.82sec,88.72777777777777,,,C:\Users\o_iseri\Desktop\OpenUBEM\scratchpad\e-la-20-fix\f11n_work\runs\way_772627054,7.01
