Date/Time,RELATION_12765478_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F3_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F4_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),RELATION_12765478_F5_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),Electricity:Facility [J](Annual),DistrictHeating:Facility [J](Annual),Heating:DistrictHeating [J](Annual),InteriorEquipment:Electricity [J](Annual),Electricity:Building [J](Annual) 
 01/07  12:00:00,40472632.12517354,40354328.575992174,40435474.97666195,40731267.362497374,43105408.30397404,71882962.02349707 
 01/07  13:00:00,40544408.617817275,40442963.57088823,40520864.651259065,40812074.99873657,43180178.570727676,71915244.05359702 
 01/07  14:00:00,40798911.97980811,40717700.30673804,40793364.86800625,41080800.62270804,43450535.53819952,72348553.18350619 
 01/07  15:00:00,41253501.869020805,41197839.64591828,41272513.36421556,41557729.372628234,43940417.62296471,73186842.37852187 
 01/07  16:00:00,41747709.53868878,41719021.09973627,41793428.69433523,42077232.222168766,44477189.89888736,74138855.99249241 
 01/07  17:00:00,39191763.63653202,39314942.57961608,39507646.60390809,39860175.08576207,42170394.397953026,68991257.60316283 
 01/07  18:00:00,37484465.35723702,37652614.82966821,37900736.50655149,38289553.0017535,40600514.46023962,66874532.29207787 
 01/07  19:00:00,39481540.54034268,39538679.27410567,39699866.798413195,40037460.64211677,42429658.65448368,71104631.15541622 
 01/07  20:00:00,39733964.951392345,39803856.55638938,39968064.69085284,40308037.384173885,42716554.05964218,71624050.06173383 
 01/07  21:00:00,39661354.746165045,39730438.72176443,39894707.811849125,40234760.62793223,42645266.40685685,71561802.95821196 
 01/07  22:00:00,40042481.58207658,40120735.19313267,40286715.50768041,40628529.48498347,43056670.29198938,72272710.00360118 
