cell_id,archetype_id,survey_fold,sensitivity_f,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.SFH.04.Gen.ReEx.001.001__f100,ES.ME.SFH.04.Gen.ReEx.001.001,es,1.0,ATTEMPTED,True,COMPLETED,0,0,0,33555.44435386093,2.047,True,False,False,16f8a7fedb6b3d90404069ca69135c8809003e26cf41cbee32966586c7bfd9fb,
es__ES.ME.SFH.05.Gen.ReEx.001.001__f000,ES.ME.SFH.05.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,20228.099973154345,2.263,True,False,False,e3d6f61e997ceb02020246b388dc8830af0977a6773a43961ae5059262229b42,
es__ES.ME.SFH.05.Gen.ReEx.001.001__f015,ES.ME.SFH.05.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,25656.846686663765,2.614,True,False,False,8a5d905c5826480bd89659664e00c6a8c1e0cd54ad1f9bf787a9208123c71517,
es__ES.ME.SFH.05.Gen.ReEx.001.001__f030,ES.ME.SFH.05.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,21557.3904103828,2.525,True,False,False,2079ea13676ffdee541ef9c57903b3dc8b0afe2527252442fee7666f0f0164b6,
es__ES.ME.SFH.05.Gen.ReEx.001.001__f050,ES.ME.SFH.05.Gen.ReEx.001.001,es,0.5,ATTEMPTED,False,ENGINE_FAILED,1,1,1,None,0.575,False,False,False,dd730a2f39b8f087f5ad9ba624677854e993947efcd454417dafc6451912db57,
es__ES.ME.SFH.05.Gen.ReEx.001.001__f100,ES.ME.SFH.05.Gen.ReEx.001.001,es,1.0,ATTEMPTED,True,COMPLETED,0,0,0,25626.467055546054,2.579,True,False,False,ef5b2c12cd670e06e88e63eb3189d5a1406ede817df6b235732a5e4f213b6e5c,
es__ES.ME.SFH.06.Gen.ReEx.001.001__f000,ES.ME.SFH.06.Gen.ReEx.001.001,es,0.0,ATTEMPTED,True,COMPLETED,0,0,0,12636.25925812576,2.233,True,False,False,999edd4495eb10205ed8dd55a437be4c18fffa8f0593d6701d1878dd54671b82,
es__ES.ME.SFH.06.Gen.ReEx.001.001__f015,ES.ME.SFH.06.Gen.ReEx.001.001,es,0.15,ATTEMPTED,True,COMPLETED,0,0,0,12630.272936999112,2.236,True,False,False,ec0bd8690563805b1af15a79ddbe19e56895a03a2d666d8369369cec6d90f5db,
es__ES.ME.SFH.06.Gen.ReEx.001.001__f030,ES.ME.SFH.06.Gen.ReEx.001.001,es,0.3,ATTEMPTED,True,COMPLETED,0,0,0,12625.274604896244,2.21,True,False,False,58d07df0002777660240641c333f98f999bde2d3e4a54b9a84e6a947996e9d3d,
es__ES.ME.SFH.06.Gen.ReEx.001.001__f050,ES.ME.SFH.06.Gen.ReEx.001.001,es,0.5,ATTEMPTED,True,COMPLETED,0,0,0,12620.451789380317,2.571,True,False,False,0cbc7e922cab3834a12e2c0ed1cab7b6a3a2e1bc56cc5f218d521edb13b96a2e,
