cell_id,archetype_id,survey_fold,sensitivity_f,replicate,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.AB.04.Gen.ReEx.001.001__f050,ES.ME.AB.04.Gen.ReEx.001.001,es,0.5,2,ATTEMPTED,True,COMPLETED,0,0,0,160306.53963183044,3.583,True,False,False,dd996e75b9ff3602477e2e47ebd769db7488c253c565ae7294a474494303f0e7,
es__ES.ME.AB.04.Gen.ReEx.001.001__f050,ES.ME.AB.04.Gen.ReEx.001.001,es,0.5,3,ATTEMPTED,True,COMPLETED,0,0,0,161388.07720982475,3.413,True,False,False,15eb19bf32a8c5896964dd4f6d36537f66ba7313a575da4a0e2575f0720800a5,
es__ES.ME.AB.04.Gen.ReEx.001.001__f100,ES.ME.AB.04.Gen.ReEx.001.001,es,1.0,1,ATTEMPTED,True,COMPLETED,0,0,0,161475.88274040632,3.417,True,False,False,c161a1d59af57c347eb1fe5c7746b565a55d6cf194a6b3cf6ddf630afe818ebb,
es__ES.ME.AB.04.Gen.ReEx.001.001__f100,ES.ME.AB.04.Gen.ReEx.001.001,es,1.0,2,ATTEMPTED,True,COMPLETED,0,0,0,161475.88274040632,3.316,True,False,False,c0f2494197ec9c1a3d324233f9619b7d8bfc3b70c9401b137bf87569506be000,
es__ES.ME.AB.04.Gen.ReEx.001.001__f100,ES.ME.AB.04.Gen.ReEx.001.001,es,1.0,3,ATTEMPTED,True,COMPLETED,0,0,0,161475.88274040632,3.225,True,False,False,c4db26ea8cd173cab536b4ce3633e3563ac99eab8afa96cbf817fc2a08e54192,
es__ES.ME.AB.05.Gen.ReEx.001.001__f000,ES.ME.AB.05.Gen.ReEx.001.001,es,0.0,1,ATTEMPTED,True,COMPLETED,0,0,0,118631.42774038628,3.621,True,False,False,6e1c7e1e8646324c5f6df1ae0f99371c661d859e55d1fffc82383d5d3c2a6bcb,
es__ES.ME.AB.05.Gen.ReEx.001.001__f000,ES.ME.AB.05.Gen.ReEx.001.001,es,0.0,2,ATTEMPTED,True,COMPLETED,0,0,0,118631.42774038628,3.459,True,False,False,b0cec2c5fac60b5c3a697c872e862c8b1d4fe8880e206f7cd849e1c578e8af72,
es__ES.ME.AB.05.Gen.ReEx.001.001__f000,ES.ME.AB.05.Gen.ReEx.001.001,es,0.0,3,ATTEMPTED,True,COMPLETED,0,0,0,118631.42774038628,3.612,True,False,False,df9e187cad139e0914f90260738ec0fa94ce75799a07591f7f0ca3515f3f8e1c,
es__ES.ME.AB.05.Gen.ReEx.001.001__f015,ES.ME.AB.05.Gen.ReEx.001.001,es,0.15,1,ATTEMPTED,True,COMPLETED,0,0,0,118613.91491357746,3.63,True,False,False,1db1f441c6d0b3e070819cd0f964d183c31cb64f17b382e500f27e8a5fa48fa8,
es__ES.ME.AB.05.Gen.ReEx.001.001__f015,ES.ME.AB.05.Gen.ReEx.001.001,es,0.15,2,ATTEMPTED,True,COMPLETED,0,0,0,118613.91491357746,3.597,True,False,False,e212b1930f7157578a444d5f6e79a2b148b22fea1ee556b9b8b741a504d29df1,
es__ES.ME.AB.05.Gen.ReEx.001.001__f015,ES.ME.AB.05.Gen.ReEx.001.001,es,0.15,3,ATTEMPTED,True,COMPLETED,0,0,0,118613.91491357746,3.713,True,False,False,f8f088da436ca12734a85af1612666ff805eb42232f8294da26985af0d209679,
es__ES.ME.AB.05.Gen.ReEx.001.001__f030,ES.ME.AB.05.Gen.ReEx.001.001,es,0.3,1,ATTEMPTED,True,COMPLETED,0,0,0,118600.47922193602,3.718,True,False,False,61cad6d691b4bdae7639c6442c6403a73c685fc514c9be20116f8bbcdd1d1aca,
