cell_id,archetype_id,survey_fold,sensitivity_f,mode,replicate,idf_sha256,heating_kwh,completed,completion_status,return_code,severe_count,fatal_count,runtime_s,marker_psy,marker_inside_hb,marker_calchb,error
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,process,1,ecc0b1656171ba7d2b07edebe21443b99f6110966c46dbeed7ea5580343dc756,429401.8978237175,True,COMPLETED,0,0,0,2.147,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,process,2,95c3a6cf72c550f9315c2d806a87ef8a6318517ec96d80a2e9db3dfd3d0738cd,429401.8978237175,True,COMPLETED,0,0,0,2.222,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f000,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.0,process,3,acc715792844afd003810d48e7eb0253233ff088363b6bc6132b524caf3205ec,429401.8978237175,True,COMPLETED,0,0,0,2.129,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,process,1,41101e0baa47600bb2d39096c96475324200f56f9294a8d457d3d4bc209161fd,429321.8745368888,True,COMPLETED,0,0,0,2.236,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,process,2,373ffea1160d5387a52fedc6531ad34dc9c14a67ec6b738ab18b1c361f227ca8,429321.8745368888,True,COMPLETED,0,0,0,2.39,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f015,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.15,process,3,89e937a924461e31f109aac3b80cf5eb21757d7047b02816036770d64de0e9a5,None,False,ENGINE_FAILED,1,1,1,0.59,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,process,1,e3a80355ad405f0d2662202d246c91d6ddbbbf94f47af6c4622893e45c713ec9,429248.3754781889,True,COMPLETED,0,0,0,2.224,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,process,2,0d5873e50153d58746aa0d53b8a4d374f0d56bfb00993077d6ca4d03f5a66b63,429248.3754781889,True,COMPLETED,0,0,0,2.418,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f030,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.3,process,3,5edad0dd5b4132773dc61062d8811d4201b4f64c166a46454898bcb52dcff489,None,False,ENGINE_FAILED,1,1,1,0.566,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,process,1,538a6197c9c0ea332d3453db06acfba4c7f5067775eb227d641ae5471c23c752,429020.1391252499,True,COMPLETED,0,0,0,2.386,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,process,2,d3758fd00133818738bb4a8d9985b475ee9f8e183c3212004916b80a3fca22a2,429161.0117617531,True,COMPLETED,0,0,0,2.263,False,False,False,
uk__GB.ENG.AB.03.Gen.ReEx.001.001__f050,GB.ENG.AB.03.Gen.ReEx.001.001,uk,0.5,process,3,e5c563fed6a51907f5138e976c9af0d5321b6b188845483b371e1b3d36b46502,None,False,ENGINE_FAILED,1,1,1,0.741,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,process,1,f45384c2bb0a16c88f8879e106bca87eac1a98cbcbc7e15ee70ca85c14f5eacc,93250.02037697194,True,COMPLETED,0,0,0,2.218,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,process,2,496bfeff910902826b1bfb68e8a064ecb32f905874c322c9d10b3025c3994aec,93250.02037697194,True,COMPLETED,0,0,0,2.343,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f000,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.0,process,3,f2451f7f50b9c9002a8ab5db0d8aaf736b89b7a69f2be1366511fb1b6282b9f1,93250.02037697194,True,COMPLETED,0,0,0,2.151,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,process,1,bc697c5a5c6a8c65ce6bda38f5a2794046412c7baf3afd551c842d1efe7fb736,93225.62768088045,True,COMPLETED,0,0,0,2.14,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,process,2,b8bd7971f01e635259c4db3dbb967e58adf086893080e699022cc30a527f3403,None,False,ENGINE_FAILED,1,29,1,1.661,False,True,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f015,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.15,process,3,98306b5da39b9b6015f4bb0279cbff6436f9e48f3dcf04a8870046016308d7ca,None,False,ENGINE_FAILED,1,29,1,1.469,False,True,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,process,1,94b6b0bc5b129fdc8f34905fbf3cd04ed51106be54ecfaffd23ecb08e576db68,93202.1854932216,True,COMPLETED,0,0,0,2.054,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,process,2,d68e21483538950451ba2da170bdcda9fa805ece28019a8a1395be6fd2d9042c,93202.1854932216,True,COMPLETED,0,0,0,2.117,False,False,False,
it__IT.MidClim.AB.01.Gen.ReEx.001.001__f030,IT.MidClim.AB.01.Gen.ReEx.001.001,it,0.3,process,3,9ea8d4926137c90347f71fd627e07b83e622ca5cd81ca413bc763a5301a956cf,93202.1854932216,True,COMPLETED,0,0,0,2.101,False,False,False,
