Date/Time,BATIMENT0000000357175643_PART0_F0_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F1_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BATIMENT0000000357175643_PART0_F2_WHOLE IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly) 
 11/09  12:00:00,1459442.7795315797,1418739.2356853825,1972844.235760624 
 11/09  13:00:00,1464035.324385726,1423443.3955833672,1970466.200746957 
 11/09  14:00:00,1428146.0598337064,1387529.236893147,1922803.974875498 
 11/09  15:00:00,1388041.3031566597,1347343.1427745707,1872443.4115552423 
 11/09  16:00:00,1271570.7449227301,1229452.9081117844,1748909.2777342866 
 11/09  17:00:00,1171446.2074830271,1134056.3869952662,1667851.9161951677 
 11/09  18:00:00,1259703.45829144,1232524.6020648964,1868233.7920889556 
 11/09  19:00:00,1357870.3375630362,1331773.6960383076,1989286.496954792 
 11/09  20:00:00,1425538.0007054752,1398254.1157228705,2043893.5943381083 
 11/09  21:00:00,1468125.8641049988,1438791.446560844,2061167.047658599 
 11/09  22:00:00,1455302.5478554345,1425210.031622582,2033797.1896250572 
 11/09  23:00:00,1423677.7764907582,1393606.137614361,1995518.7781814337 
 11/09  24:00:00,1354493.854418549,1324198.5780402452,1911429.0207501238 
 11/10  01:00:00,1315245.587405901,1284742.1072684675,1861679.3542218553 
 11/10  02:00:00,1339251.799058782,1308764.4574392647,1887889.0758328044 
 11/10  03:00:00,1384018.6941618682,1351811.5242654823,1928954.0695913006 
 11/10  04:00:00,1418989.577931093,1384435.3770193907,1953235.7582149536 
 11/10  05:00:00,1441164.3605345918,1404480.1503488906,1960653.3766467874 
 11/10  06:00:00,1482287.1918268648,1445093.1938210714,2003132.2852106066 
 11/10  07:00:00,1533484.6409140911,1496065.9190435363,2061791.1462654322 
 11/10  08:00:00,1531289.3619561468,1499729.8120649196,2114028.5746047944 
 11/10  09:00:00,1537381.37027871,1511234.9388940937,2201612.505701487 
 11/10  10:00:00,1426264.4461302385,1389335.305814934,2067622.978450313 
 11/10  11:00:00,1219773.1092753354,1131180.9395202792,1699670.411032374 
 11/10  12:00:00,1023769.4147621726,825423.6060593489,1317763.1403031957 
 11/10  13:00:00,863875.7010691161,624248.6124444003,1036930.8537980783 
 11/10  14:00:00,767936.675799334,578576.1814038801,953532.7429436549 
 11/10  15:00:00,709243.6305972929,561799.644198591,779930.495628377 
 11/10  16:00:00,818057.7597166172,731418.1808336754,969091.9866731071 
 11/10  17:00:00,923618.1587624471,845943.4843681483,1289372.9222593182 
 11/10  18:00:00,1082977.3931563287,1025308.8245474086,1669937.1129143047 
 11/10  19:00:00,1269262.9565477981,1218616.0759314504,1917895.8049165197 
 11/10  20:00:00,1436714.3809889778,1390356.232106962,2116413.5392850665 
 11/10  21:00:00,1494137.6630876558,1451321.3355549246,2185434.3570557423 
 11/10  22:00:00,1498621.2874059894,1458814.9727579528,2191118.2631807197 
 11/10  23:00:00,1591433.73348138,1554651.5706803882,2301544.0876229266 
 11/10  24:00:00,1644296.9978258868,1609023.919230201,2351014.748523498 
 11/11  01:00:00,1669312.1778497656,1635610.8752646663,2375973.259088636 
 11/11  02:00:00,1662048.511183192,1631310.1841494385,2383797.555291177 
 11/11  03:00:00,1709979.7541776157,1681917.8794639367,2453371.220533289 
 11/11  04:00:00,1826209.9263319406,1801964.107589448,2620267.2181718377 
 11/11  05:00:00,1949529.9654629056,1928532.5962426797,2787091.223688977 
 11/11  06:00:00,2028287.600112162,2010281.638443458,2901614.123483781 
 11/11  07:00:00,2112052.370115405,2097293.2636292763,3027371.130952009 
 11/11  08:00:00,2203936.6316302875,2191853.190847425,3157365.7133136843 
 11/11  09:00:00,2240722.06838835,2227508.9677679213,3213451.110114577 
 11/11  10:00:00,2024073.4277740158,1989324.01822512,2887179.330895762 
 11/11  11:00:00,1606260.5796872473,1518195.6989745197,2260854.1458492717 
 11/11  12:00:00,1248712.9266886434,1055088.5325946708,1646534.083858489 
 11/11  13:00:00,1043999.498629106,795698.3605164737,1255783.1234794592 
 11/11  14:00:00,939684.7466811793,734945.4198174863,1123391.4678612107 
 11/11  15:00:00,857769.8720450914,690401.9271559868,892797.0165815429 
 11/11  16:00:00,846569.9252729958,741743.0380687779,925441.4808310308 
 11/11  17:00:00,943480.337439815,848715.7947795991,1152804.9715262474 
 11/11  18:00:00,1278391.2379785837,1209167.0457141176,1780550.3007261876 
 11/11  19:00:00,1597860.8898374927,1534978.3763261607,2164828.8928161706 
 11/11  20:00:00,1846500.6408250006,1789706.0869506793,2476767.233497414 
 11/11  21:00:00,1994315.3234601167,1942956.4229837738,2670805.7886294317 
 11/11  22:00:00,2056703.8514336369,2010192.2846801959,2763600.5178088057 
 11/11  23:00:00,2081307.1477488712,2039356.5074218663,2813270.159445185 
 11/11  24:00:00,2160143.80817156,2121915.968003843,2920240.3890085984 
 11/12  01:00:00,2140697.343574795,2105564.0644116043,2907676.617682714 
 11/12  02:00:00,2005214.2787472652,1971707.3437099194,2744213.724717757 
 11/12  03:00:00,1990334.057115726,1952564.0265085117,2686360.2680530385 
 11/12  04:00:00,2060481.678182568,2020556.6352116142,2737007.5957179214 
 11/12  05:00:00,2082111.593323405,2045478.0889140838,2768520.29293215 
 11/12  06:00:00,2006902.6024997453,1976886.810743968,2722003.7280744277 
 11/12  07:00:00,1928815.001973859,1902040.3041830747,2662617.8322547553 
 11/12  08:00:00,1871602.3846974059,1847993.044685782,2627374.123993246 
 11/12  09:00:00,1817952.8945014146,1795539.7518857494,2581869.7107108585 
 11/12  10:00:00,1655181.6607103487,1625591.3808995986,2374989.7372574555 
 11/12  11:00:00,1366763.9372216205,1319236.3250629562,1987722.5760985836 
 11/12  12:00:00,1095310.153888287,1025287.9870603727,1614793.7304455421 
 11/12  13:00:00,798058.5379897712,678005.366480454,1155266.6312498173 
 11/12  14:00:00,593273.3308133422,462701.5252947677,849697.2568487284 
 11/12  15:00:00,407949.0210582205,299231.3683312037,508688.697321526 
 11/12  16:00:00,320673.62779280305,247641.6968759375,408993.1139583554 
 11/12  17:00:00,395675.1183032262,328825.82702265214,569617.2685384343 
 11/12  18:00:00,534344.8949381964,479049.9554638541,854624.7777294208 
 11/12  19:00:00,643666.6124961986,591141.8374972127,991693.81839484 
