building_id,stem,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,construction_period_provenance,floor_area_m2,gross_footprint_area_m2,conditioned_floor_area_m2,context_building_count
way/432412738,8a85ae6cc2d33dd2,ES.ME.AB.06.Gen.ReEx.001.001,AB,ES.06,FALLBACK_PENDING_LAYOUT,4bab825fe0d091df74f5e9f70a925bb748dd1082664359b85ee8abcc676c9cb7,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,150.7418,150.7418,150.7418,10
way/432566224,bf1fa61d6ffd3b54,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,8dd67d587d31909b8d81e5877321b0e77912bb664a409690e5da578debc47b90,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1573.9493,1573.9493,1573.9493,20
way/432566226,d61998339f4da232,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,3174f7ebe303367281bc6057ecb8ac9ad28b936a283e256fd0319709a789db36,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,993.3555,993.3555,993.3555,9
way/432566227,4eb7a9d9111ab919,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,1ce1173f4afe3a1125023b3b4b13ba4e345a772453b77e392d320248658acec2,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1080.429,1080.429,1080.429,7
way/432566510,6a778f5314a18fc8,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,61013cc9c304247168beb8c644df5c466d1cc3fd0e6313d22e0815d33b52c494,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,422.0542,422.0542,422.0542,16
way/432566513,0bf0d04db8e120b6,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,da834fa23ccb6467014c5756dd9d3154b1337fc1181d16b8714a04284752ec34,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,902.0045,902.0045,902.0045,19
way/432566514,7cd5c66be16c187b,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,3804a733b7c3dc84c417fe3a1a3e0187ec5a6bb7ba0995db4e676eef2390a349,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,810.098,810.098,737.1892,17
way/432566515,92122de57fde2ab7,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,6f71024652aa2c4d07af646b0c49f833d6949d0bc4424765df36541d88598eb2,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,410.3751,410.3751,373.4414,12
way/432567161,20b2eb84966dc0d0,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,83dac4fa84f49fa20360fe611ad06e19936694609c7d0d075db91fb9f09ed92d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1195.5292,1195.5292,1195.5292,8
way/432567162,b2d4364d9a59d54f,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,4af57646c49777f2d0be3be1aa04b5b56a9e41b7c0d991a11eda9c1253b801df,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,331.4952,331.4952,331.4952,15
way/432567163,d25ce6a148364322,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,8433fac3121694df541f999a4dd36fdcd614e1319456cf6ca09b0d6d6e837bf2,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,120.8906,120.8906,120.8906,14
way/432567164,7f65aeb2b79aac19,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,686916e6e9d2245e71c4cfd609071211910e933eefca687622cfbf2ac3106658,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1030.8854,1030.8854,1030.8854,13
way/432567165,b797e223d7568b2f,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,327ce690ea12751365a5c6fa1a8fe0c65a7ce3792ca981d57e4457fafc52eba7,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,654.4591,654.4591,654.4591,13
way/432864101,edbee46fc283a4b7,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED,860931bcc24a48fcebb0844a875a949a2f1d5c16300dfbc5dc0cad10f3e34a4a,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,2066.3384,2066.3384,2066.3384,13
way/432864102,541f4e427a5c8e5a,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,672b1b4ae7e42c998c71f22ac8c355da702b3db7fcb594dba79f875f59c3eb39,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1685.6092,1685.6092,1685.6092,20
way/432864103,9fe79473011a3615,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,566158c00d006cdea99553ad71f933073768d81ae066241c6c6087f32ac08321,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,234.6268,234.6268,234.6268,14
way/432864104,b50885f24c5a78e7,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,6b7f95ee233d719c787812cc3f689c646c6f9d0a513994c292bdc3192d7f0a28,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,851.5955,851.5955,851.5955,15
way/432864105,41c71c9958cac011,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,b4a1a019c910478b8352bfef49da74e753a1af3b1fe9aa268035658e065c8863,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,568.7196,568.7196,568.7196,15
way/432864406,8cbcabf9dbcc396b,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,42c6a1d2fd1b41b3d828e6e6cd6c3fb58cde2421923aa87453adb666beec71b4,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,242.0235,242.0235,242.0235,9
way/432864412,e60cd4dd030a4380,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,800c6b5e57f5e5a23445709656932e02ef5e342cd4acea4fcead870fa241f990,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,308.2422,308.2422,294.3952,14
way/432864413,21e84e8fac3fae2a,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED,364b3c5799dc231056d132827d15e0d110fce0f3d8412e6f6a68ba8cedac7633,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,329.2484,329.2484,329.2484,15
way/432864414,609404ef061555bc,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,4b7ae38bcb4ccf5d74de2ffddfbfb3f7a3e241d69d209051a05e4106fd150980,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,296.3217,296.3217,296.3217,14
way/432864416,a1a55dff67bc763c,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,160896e937a8b3ce138595829b9b677016c37ea94d57bb9825452ddd725c87e3,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1359.8701,1359.8701,1237.4818,15
way/432864417,5b384f42b14776bc,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,da66036aed8a13c3b9ec94f2a57ef677de2c13ca2cf4afd9cb5b4ada23f4eb45,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,1110.2631,1110.2631,1010.3394,11
way/432864418,1e4daff30ccf7381,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,DWELLING_LAYOUT_EMITTED,e9b6b6cd131880426529c946bde91b77e4b7517dab5a8a9844efe4b5eaa2d2d6,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,717.6446,717.6446,717.6446,16
