building_id,n_surfaces_checked,n_defective_surfaces,first_defect_kind,first_defect_angle_deg,first_defect_edge_m,defect_on_footprint_ring,has_interzone_partner
way/311161165,9,2,collinear,179.93423,11.93673498,Y,N
way/311161166,30,0,,,,,
way/311162657,19,2,collinear,179.902207,1.39836834,Y,N
way/311162658,49,0,,,,,
way/311162659,8,2,collinear,179.983117,4.70357247,Y,N
way/311162660,42,0,,,,,
way/311162661,122,2,collinear,179.986203,2.96256122,Y,N
way/333138124,42,0,,,,,
way/333138127,30,0,,,,,
way/333138128,49,0,,,,,
way/333138129,28,2,collinear,179.960326,1.04102353,Y,N
way/333138130,63,14,collinear,179.961461,15.28396025,Y,N
way/333138131,56,0,,,,,
way/333138132,32,0,,,,,
way/333138134,45,0,,,,,
way/293596153,7,2,collinear,179.992664,5.05348009,Y,N
way/293596159,77,0,,,,,
way/293596180,72,0,,,,,
way/298875931,50,0,,,,,
way/310738147,98,0,,,,,
way/310738149,112,0,,,,,
way/310738150,76,0,,,,,
way/310738151,236,0,,,,,
way/290820844,68,0,,,,,
way/290820846,50,0,,,,,
way/290820847,52,0,,,,,
way/290820849,40,0,,,,,
way/290820851,60,0,,,,,
way/291149502,9,0,,,,,
way/291149503,234,0,,,,,
way/291155593,142,2,collinear,179.946333,5.09023614,Y,N
way/380242664,10,0,,,,,
way/380242665,27,0,,,,,
way/380242666,28,0,,,,,
way/380242668,16,0,,,,,
way/380242669,63,0,,,,,
way/380242671,40,0,,,,,
way/380242672,42,2,collinear,179.966701,3.30575029,Y,N
way/388485179,12,2,collinear,179.928492,11.78228675,Y,N
way/310771792,184,0,,,,,
way/310771803,130,0,,,,,
way/310771805,150,0,,,,,
way/310771813,30,0,,,,,
way/310771815,24,0,,,,,
way/310771818,42,0,,,,,
way/310771820,84,0,,,,,
way/310771821,11,2,collinear,179.945736,6.56574847,Y,N
way/310774080,95,0,,,,,
way/310775064,70,0,,,,,
way/310775068,30,0,,,,,
way/310775071,56,0,,,,,
way/310775072,36,0,,,,,
way/310775075,80,0,,,,,
way/310775076,99,0,,,,,
way/311159684,45,6,collinear,179.994291,4.94234246,Y,N
way/388485198,24,0,,,,,
way/388485200,36,0,,,,,
way/388485201,33,6,collinear,179.995505,12.68227602,Y,N
way/388485203,56,0,,,,,
way/388485205,42,0,,,,,
way/389587830,30,0,,,,,
way/389587831,19,2,collinear,179.972681,15.46202526,Y,N
