building_id,district,stem,geometry_outcome,has_whole_zone,census_k,census_drawn_per_floor,census_status,census_spread,census_verdict,storeys,area_m2,recoverable
relation/4835801,ES-MAD-BERRUGUETE,26930365bf385bb6,FALLBACK_PENDING_LAYOUT,Y,9,9,direct,0.2654,FAIL,5,551,Y
relation/12800463,ES-MAD-BERRUGUETE,b56c88c9dbd87279,FALLBACK_PENDING_LAYOUT,Y,6,6,direct,0.3764,FAIL,5,273,Y
relation/12800464,ES-MAD-BERRUGUETE,919157f68be36042,FALLBACK_PENDING_LAYOUT,Y,8,8,direct,0.4639,FAIL,5,305,Y
relation/12800465,ES-MAD-BERRUGUETE,890016e14f4ecc5e,FALLBACK_PENDING_LAYOUT,Y,6,6,direct,0.7652,FAIL,5,243,Y
relation/12803889,ES-MAD-BERRUGUETE,cc41d0f84f68ceda,DWELLING_LAYOUT_EMITTED,N,11,11,direct,0.4999,PASS,4,560,N
relation/12803902,ES-MAD-BERRUGUETE,08e084e234959ba2,FALLBACK_PENDING_LAYOUT,Y,11,11,direct,0.2512,FAIL,4,327,Y
relation/12837455,ES-MAD-BERRUGUETE,a00df89085b2cd0c,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.9999,PASS,4,149,N
relation/12837456,ES-MAD-BERRUGUETE,f039875e129dcd1c,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.4938,PASS,2,220,N
relation/12837457,ES-MAD-BERRUGUETE,c2577233c56f2d0b,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,2,348,N
way/286564856,ES-MAD-BERRUGUETE,5bb564b7ae2d44cd,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.9998,PASS,2,91,N
way/286685213,ES-MAD-BERRUGUETE,6d5be91d4394f4d3,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.9999,PASS,3,120,N
way/286685214,ES-MAD-BERRUGUETE,52dfc80150e42608,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.4332,PASS,2,91,N
way/286685215,ES-MAD-BERRUGUETE,7f6145261d4118bf,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,4,63,N
way/286685216,ES-MAD-BERRUGUETE,893bc739e3c3f0bc,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,69,N
way/286685217,ES-MAD-BERRUGUETE,79ffe2e19e8fa2fc,DWELLING_LAYOUT_EMITTED,N,2,2,direct,1.0,PASS,4,139,N
way/286685218,ES-MAD-BERRUGUETE,7c13f988d5cc3124,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,2,85,N
way/286685219,ES-MAD-BERRUGUETE,d6b9816eb10d4822,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,84,N
way/286685222,ES-MAD-BERRUGUETE,c57a45184a1c34ba,FALLBACK_PENDING_LAYOUT,Y,6,6,direct,0.3772,PASS,4,491,Y
way/286754285,ES-MAD-BERRUGUETE,7a82f36acc9e399f,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,83,N
way/286754286,ES-MAD-BERRUGUETE,d52b68d0d8e007f5,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,89,N
way/286754288,ES-MAD-BERRUGUETE,c3c6917db48a746e,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,1,1,direct,1.0,PASS,3,58,N
way/286754289,ES-MAD-BERRUGUETE,dcfe75978024e004,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,66,N
way/286754290,ES-MAD-BERRUGUETE,b6859064f914a13a,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,2,2,direct,0.4378,PASS,4,95,Y
way/286754292,ES-MAD-BERRUGUETE,771e297424376843,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,1,,GENERIC_NO_CENSUS,,GENERIC,4,89,N
way/286783497,ES-MAD-BERRUGUETE,90d8fde1d66008b3,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,78,N
relation/12882211,ES-MAD-BERRUGUETE,04c3d8bc97b3aa32,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.6721,PASS,3,166,N
relation/12891866,ES-MAD-BERRUGUETE,9670c5cdbba65eea,DWELLING_LAYOUT_EMITTED,N,3,3,direct,1.0,PASS,4,260,N
relation/12891867,ES-MAD-BERRUGUETE,e1e63c62f8b852ef,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.6793,PASS,2,89,N
relation/12891868,ES-MAD-BERRUGUETE,edea5e0e81996fc3,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,2,107,N
relation/12931517,ES-MAD-BERRUGUETE,0c479868a7ac0df9,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,2,194,N
relation/12931518,ES-MAD-BERRUGUETE,98286196c85678d6,DWELLING_LAYOUT_EMITTED,N,2,2,direct,0.4705,PASS,4,223,N
relation/12993356,ES-MAD-BERRUGUETE,f734f8445bc66815,FALLBACK_PENDING_LAYOUT,Y,4,4,direct,0.5252,FAIL,4,335,Y
relation/13005466,ES-MAD-BERRUGUETE,bdea183b20e2e24c,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,1,439,N
relation/5662801,ES-MAD-BERRUGUETE,3f407830cf05c0a0,DWELLING_LAYOUT_EMITTED,N,8,8,direct,0.9233,PASS,5,492,N
relation/5662802,ES-MAD-BERRUGUETE,64543fc5f6492143,DWELLING_LAYOUT_EMITTED,N,4,4,direct,0.4072,PASS,5,207,N
relation/5662803,ES-MAD-BERRUGUETE,4d588743b2a0cd3e,FALLBACK_PENDING_LAYOUT,Y,2,2,direct,0.9999,FAIL,4,318,Y
relation/5808693,ES-MAD-BERRUGUETE,6e8c342c111770cf,FALLBACK_PENDING_LAYOUT,Y,3,3,direct,0.5,FAIL,7,516,Y
relation/5808694,ES-MAD-BERRUGUETE,907754899c0539ea,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.5,PASS,3,170,N
relation/5808695,ES-MAD-BERRUGUETE,a1ce2aa2e904191a,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.9999,PASS,4,208,N
relation/5808697,ES-MAD-BERRUGUETE,452fddba4059d837,FALLBACK_PENDING_LAYOUT,Y,6,6,direct,0.5,FAIL,4,228,Y
relation/5808698,ES-MAD-BERRUGUETE,44c1e8911b9dcb60,DWELLING_LAYOUT_EMITTED,N,2,2,direct,1.0,PASS,3,265,N
way/287696588,ES-MAD-BERRUGUETE,44018e4a1aed4a5e,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,1,74,N
way/287696589,ES-MAD-BERRUGUETE,a33ef562e4b82396,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,61,N
way/287696590,ES-MAD-BERRUGUETE,d248f5aff396520c,FALLBACK_PENDING_LAYOUT,Y,1,1,direct,1.0,FAIL,5,77,N
way/287696591,ES-MAD-BERRUGUETE,2c5f8743fd0c32e2,DWELLING_LAYOUT_EMITTED,N,1,,GENERIC_NO_CENSUS,,GENERIC,2,68,N
way/287696594,ES-MAD-BERRUGUETE,07b56742312e4947,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,2,49,N
way/287696595,ES-MAD-BERRUGUETE,72c7ccbc61702876,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,2,50,N
way/287696596,ES-MAD-BERRUGUETE,ab4dac669c83fd0d,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,59,N
way/287938551,ES-MAD-BERRUGUETE,06c56cc186abc899,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,2,2,direct,0.9999,PASS,3,85,Y
way/287496598,ES-MAD-BERRUGUETE,f1af238efc41ce7c,DWELLING_LAYOUT_EMITTED,N,3,,GENERIC_NO_CENSUS,,GENERIC,3,204,N
way/287696580,ES-MAD-BERRUGUETE,8bca0d8da55b41ac,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,2,2,direct,0.4135,PASS,3,136,Y
way/287696581,ES-MAD-BERRUGUETE,9904e66d600a25cb,DWELLING_LAYOUT_EMITTED,N,2,2,direct,1.0,PASS,4,98,N
way/287696583,ES-MAD-BERRUGUETE,75eceeb081befc62,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,2,2,direct,0.9999,PASS,4,356,Y
way/287696584,ES-MAD-BERRUGUETE,042b1929b0b6aa86,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,3,3,direct,0.5001,PASS,4,152,Y
way/287696585,ES-MAD-BERRUGUETE,58780d5ea1a24299,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,62,N
way/287696586,ES-MAD-BERRUGUETE,718d6a0d17550d59,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,1,46,N
way/287696587,ES-MAD-BERRUGUETE,3b0ff1174fb0915f,DWELLING_LAYOUT_EMITTED,N,1,1,direct,1.0,PASS,3,63,N
way/287939452,ES-MAD-BERRUGUETE,22812fc1ef620966,DWELLING_LAYOUT_EMITTED,N,1,,GENERIC_NO_CENSUS,,GENERIC,3,54,N
way/287939453,ES-MAD-BERRUGUETE,dc2fb8c779cfd40f,DWELLING_LAYOUT_EMITTED,N,1,,GENERIC_NO_CENSUS,,GENERIC,3,40,N
way/287939454,ES-MAD-BERRUGUETE,0af4963b82f3ebe2,DWELLING_LAYOUT_EMITTED,N,1,,GENERIC_NO_CENSUS,,GENERIC,3,84,N
way/287939455,ES-MAD-BERRUGUETE,e52e3d9c6a564339,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,Y,3,,GENERIC_NO_CENSUS,,GENERIC,3,235,N
way/287943062,ES-MAD-BERRUGUETE,c0922358da475fb3,DWELLING_LAYOUT_EMITTED,N,3,3,direct,0.5,PASS,3,185,N
