district,group,count,share,median_area_m2,median_perimeter_m,median_n_vertices_raw,median_n_vertices_denoised,median_n_interior_rings,median_interior_ring_area_m2,median_hull_deficit_fraction,median_rectangularity,median_min_rot_rect_w_m,median_min_rot_rect_l_m,median_aspect_ratio,median_reflex_count,median_longest_edge_m,median_n_edges_ge_15pct_perimeter,median_circularity,median_storeys,median_dwellings_total
IT-BOL-GALVANI2,TRAPEZOID,5,0.004152823920265781,219.97354999277897,63.863648992484016,7.0,6.0,0.0,0.0,0.005721600166164684,0.8570308548819554,13.782597035838874,23.53190064311957,1.4040370437790823,0.0,18.824926586667402,4.0,0.7127549302275419,4.0,5.0
ES-MAD-BERRUGUETE,L_SHAPE,112,0.11654526534859522,215.45858727695804,66.4255357794733,9.0,6.0,0.0,0.0,0.08843767220861785,0.7681857967010011,12.999821619499345,20.49831297799455,1.4362938028886072,1.0,13.67015753235528,3.0,0.61813428382704,4.0,10.0
FLEET,L_SHAPE,259,0.10180817610062894,202.93602544431812,66.06518909358489,9.0,6.0,0.0,0.0,0.09676648887140747,0.7658731968212443,12.949957981763689,20.25352429156041,1.4350369867235497,1.0,15.347106129933016,3.0,0.6119926881549514,5.0,14.0
FR-LYO-HAUTCOEURPENTES,L_SHAPE,51,0.1717171717171717,197.28638081548206,61.738933051549516,9.0,6.0,0.0,0.0,0.08651932234964219,0.8069343195205785,13.332932417638647,18.420926361375468,1.233210197197526,1.0,16.74072775226557,3.0,0.6469809723890299,6.0,29.0
GB-LDN-STDUNSTANS,L_SHAPE,6,0.07317073170731707,162.32113483617303,60.162932382029354,7.0,6.0,0.0,0.0,0.13164019056669765,0.760149359784654,11.838644934740795,18.55907412425257,1.6599288898087434,1.0,16.02764196679623,3.0,0.5613729467739912,3.0,17.0
IT-BOL-GALVANI2,L_SHAPE,90,0.07475083056478406,199.4869799896664,66.91571134593613,8.0,6.0,0.0,0.0,0.1264117637261248,0.7550160691152269,12.599299747535763,20.743534740149208,1.5443229320008323,1.0,17.08207604365097,3.0,0.5833157896151699,5.0,16.0
ES-MAD-BERRUGUETE,U_OR_T_SHAPE,115,0.11966701352757544,214.43967821126878,71.49729059422526,11.0,8.0,0.0,0.0,0.11923216383815946,0.7587225262917581,12.33866599950005,21.863059536828775,1.5687502758317848,2.0,13.005088769741636,3.0,0.5357964647408376,4.0,12.0
FLEET,U_OR_T_SHAPE,269,0.10573899371069183,239.08730498616592,74.64044240744768,11.0,8.0,0.0,0.0,0.11665583399275392,0.7700858245099534,13.550742074515718,21.974019583295927,1.5536699542716987,2.0,15.592947123480839,3.0,0.540457773884706,5.0,16.0
FR-LYO-HAUTCOEURPENTES,U_OR_T_SHAPE,31,0.10437710437710437,237.9649766786235,69.56731815251759,12.0,8.0,0.0,0.0,0.10505148557650182,0.7771449098679177,14.933322356233877,19.696498346893833,1.218390343226845,2.0,16.275250403203632,3.0,0.5898353013140288,7.0,29.0
GB-LDN-STDUNSTANS,U_OR_T_SHAPE,8,0.0975609756097561,210.35652074143917,68.04374311359501,9.0,8.0,0.0,0.0,0.07510288064090806,0.8159717806047196,12.470583599330094,19.98886397787133,1.5696314498694326,2.0,16.4675964755681,2.0,0.6430318006730391,3.0,17.0
IT-BOL-GALVANI2,U_OR_T_SHAPE,115,0.09551495016611296,253.8068549959274,79.90234349512711,11.0,8.0,0.0,0.0,0.12138925833145459,0.7772252498053043,14.425831039033014,24.3776801825788,1.5721124529758157,2.0,17.910459541574813,3.0,0.5231812457679235,5.0,16.0
ES-MAD-BERRUGUETE,COMPLEX_MULTI_WING,123,0.1279916753381894,289.0549811065645,95.588188844475,16.0,12.0,0.0,0.0,0.18587855011501145,0.7040771317101828,16.72210502451244,26.20566808832989,1.623158030958939,4.0,14.806060490563688,2.0,0.4176063978503032,4.0,16.0
FLEET,COMPLEX_MULTI_WING,425,0.16705974842767296,306.4347561871347,96.55883875717232,16.0,12.0,0.0,0.0,0.20319595718463979,0.7086862491319934,15.706638341704139,28.40373556030836,1.6729409061898848,4.0,17.38799703822536,2.0,0.4155218945623285,5.0,16.0
FR-LYO-HAUTCOEURPENTES,COMPLEX_MULTI_WING,39,0.13131313131313133,280.26795176459444,86.22509766213105,23.0,11.0,0.0,0.0,0.15368702515639093,0.7302830089297664,15.826395717468245,24.521814798144565,1.4923923223470417,3.0,14.757170447650157,2.0,0.4723706891770071,6.0,29.0
GB-LDN-STDUNSTANS,COMPLEX_MULTI_WING,18,0.21951219512195122,227.9631287242746,74.1507975266143,11.0,10.0,0.0,0.0,0.14884415684561564,0.6964084926573446,12.307124292165872,19.28958867976295,1.4864772753058366,3.0,17.154332957137918,2.0,0.5225406214788373,3.0,17.0
IT-BOL-GALVANI2,COMPLEX_MULTI_WING,245,0.20348837209302326,319.4027084806099,100.8964764231129,16.0,12.0,0.0,0.0,0.22714703093234462,0.7130417578813256,15.858654437515574,30.225697049723525,1.773975740736314,4.0,18.490243940042646,2.0,0.3960985992664566,5.0,16.0
