building_id,archetype_id,building_type,age_band,geometry_outcome,idf_sha256,weather_sha256,eplus_return_code,severe_errors,fatal_errors,heating_kwh,floor_area_m2,eui_kwh_m2,run_seconds,platform,energyplus_version,layout_json
way/100704723,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,FALLBACK_PENDING_LAYOUT,aa1215e0b9fa12f67492f4c2ff84debead12e425a48698d39445afdfc777af3a,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1227.7191,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/100704723.json
way/100704738,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,FALLBACK_PENDING_LAYOUT,d4c0a22397aaa0fc87f70d15c8b339ef670171c377cb6cd35b0eb679c3cb3169,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,683.1709,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/100704738.json
way/100704741,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,209dd3c10f6490e05446bf5bb15ae5274d624b8d829a05b3966ed9d36cb9ea4a,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1088.7205,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/100704741.json
way/133979799,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,dd31fa7d21ca2c16dc5ce9fb5d201042dac807bd1b97c0ef80c67854f8b9a0c1,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1838.6085,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/133979799.json
way/195286075,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED,c568c477be74179cbbe2866cd5d92cb808c117d48cef6c10ef37a2c6472de5cf,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,151.4098,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/195286075.json
way/198082036,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,FALLBACK_PENDING_LAYOUT,e3ea86626217e6068971a9de6ded28e6c584935a104c548023800daf49333838,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,1028.6492,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/198082036.json
way/198082054,ES.ME.AB.04.Gen.ReEx.001.001,AB,ES.04,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,ecec1531ed993c6c6696da11be895a0d0336a3fb41006e0ee0defaed96845d6b,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,3386.9592,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/198082054.json
way/198082056,ES.ME.AB.02.Gen.ReEx.001.001,AB,ES.02,FALLBACK_PENDING_LAYOUT,c7d26d6710cd817230c3f7ea5e2813eba714c36c36dbb739d0601693a673d96d,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,566.9868,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/198082056.json
way/232618736,ES.ME.AB.03.Gen.ReEx.001.001,AB,ES.03,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,ecf68f744a150d4f1548b9a59c51398667b45623b6b677e8c137918eb69842f4,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,2318.9085,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/232618736.json
way/277649994,ES.ME.AB.05.Gen.ReEx.001.001,AB,ES.05,DWELLING_LAYOUT_EMITTED_INTERZONE_MISMATCH_REROUTED,3647d5ede12670e96308bb7c5bfedadeddb589e35c8a8ec630ed88828f8777fd,d2563b7dfdd8a78716ce3611c4180bea4e4d217b3779d0f693c607390a17346d,,,,,756.7733,,,,,openubem/outputs/eu_evidence/EU-17/ES-MAD-BERRUGUETE/layouts/way/277649994.json
