fold,Code_BuildingVariant,Code_BuildingSizeClass,n_Apartment,n_air_infiltration,n_air_use,g_gl_n_Window_1,g_gl_n_Window_2,b_Transmission_Roof_1,b_Transmission_Roof_2,b_Transmission_Wall_1,b_Transmission_Wall_2,b_Transmission_Wall_3,b_Transmission_Floor_1,b_Transmission_Floor_2,F_red_temp,h_Transmission,h_Ventilation,delta_U_ThermalBridging,H_Transmission_ThermalBridging,A_C_Ref,n_Storey,h_room,V_C
it,IT.MidClim.MFH-AB.08.Gen.ReEx.001.001,MFH,13,0.05,0.4,0.67,0,1,1,1,1,0,0.5,0,0.9658177581854239,0.841822418145761,0.38250000000000006,0,0,829.4,3,2.5,2959
it,IT.MidClim.SFH.01.Gen.ReEx.001.001,SFH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8,5.2253949640287765,0.68,0.05,20.548000000000002,139,2,2.5,533.3
it,IT.MidClim.SFH.02.Gen.ReEx.001.001,SFH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8,5.626880869565218,0.68,0.05,18.385,115,2,2.5,448.5
it,IT.MidClim.SFH.03.Gen.ReEx.001.001,SFH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8,5.438382099827883,0.68,0.1,37.08299999999999,116.2,2,2.5,455
it,IT.MidClim.SFH.04.Gen.ReEx.001.001,SFH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8,4.896079012345679,0.68,0.1,43.702,162,2,2.5,583.5
it,IT.MidClim.SFH.05.Gen.ReEx.001.001,SFH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8,5.3499552143314135,0.68,0.1,49.404,156.3,2,2.5,678.8
it,IT.MidClim.SFH.06.Gen.ReEx.001.001,SFH,1,0.2,0.4,0.75,0,1,0,1,0,0,0.5,0,0.8486038828515026,2.5418835144549234,0.5100000000000001,0.1,51.910000000000004,199.1,2,2.5,725.3
it,IT.MidClim.SFH.07.Gen.ReEx.001.001,SFH,1,0.2,0.4,0.75,0,1,1,1,0,0,0.5,0,0.8703547268392554,1.8893581948223397,0.5100000000000001,0.1,43.891999999999996,171.8,2,2.5,604.6
it,IT.MidClim.SFH.08.Gen.ReEx.001.001,SFH,1,0.1,0.4,0.67,0,1,1,1,0,0,0.5,0,0.9041680353212064,0.979159823393968,0.42500000000000004,0,0,173.88,2,2.5,607.3
it,IT.MidClim.SFH-TH.01-03.Gen.ReEx.001.001,SFH,1,0.1,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8,4.912102617391305,0.42500000000000004,0.05709291949959206,20.9930665,115,2,2.5,448.5
it,IT.MidClim.SFH-TH.04-05.Gen.ReEx.001.001,SFH,1,0.1,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8,5.136620249520154,0.42500000000000004,0.1,49.404,156.3,2,2.5,678.8
it,IT.MidClim.SFH-TH.06.Gen.ReEx.001.001,SFH,1,0.1,0.4,0.75,0,1,0,1,0,0,0.5,0,0.8407041674655993,2.778874976032021,0.42500000000000004,0.05,25.955000000000002,199.1,2,2.5,725.3
it,IT.MidClim.SFH-TH.07.Gen.ReEx.001.001,SFH,1,0.1,0.4,0.75,0,1,1,1,0,0,0.5,0,0.868121218884269,1.9563634334719322,0.42500000000000004,0.05,21.945999999999998,171.8,2,2.5,604.6
it,IT.MidClim.SFH-TH.08.Gen.ReEx.001.001,SFH,1,0.05,0.4,0.67,0,1,1,1,0,0,0.5,0,0.8981027700920667,1.0569168972379983,0.38250000000000006,0,0,173.88,2,2.5,607.3
it,IT.MidClim.TH.01.Gen.ReEx.001.001,TH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8207026859953951,3.3789194201381476,0.68,0.05,12.793500000000002,123.4,2,2.5,499.6
it,IT.MidClim.TH.02.Gen.ReEx.001.001,TH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8060940391459075,3.8171788256227757,0.68,0.05,12.246000000000002,112.4,2,2.5,478.2
it,IT.MidClim.TH.03.Gen.ReEx.001.001,TH,1,0.4,0.4,0.85,0,1,1,1,0,0,0.5,0,0.8191497433522129,3.4255076994336138,0.68,0.1,20.986,112.9,2,2.5,428.4
it,IT.MidClim.TH.04.Gen.ReEx.001.001,TH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8302522115760953,3.092433652717141,0.68,0.1,20.468000000000004,110.9,2,2.5,399.6
it,IT.MidClim.TH.05.Gen.ReEx.001.001,TH,1,0.4,0.4,0.85,0,1,0,1,0,0,0.5,0,0.8105801123595506,3.6825966292134833,0.68,0.1,19.374000000000002,89,2,2.5,374.4
it,IT.MidClim.TH.06.Gen.ReEx.001.001,TH,1,0.2,0.4,0.75,0,1,0,1,0,0,0.5,0,0.8589349758778536,2.2319507236643936,0.5100000000000001,0.1,29.818999999999996,125.2,2,2.5,434
it,IT.MidClim.TH.07.Gen.ReEx.001.001,TH,1,0.2,0.4,0.75,0,1,1,1,0,0,0.5,0,0.8705909541891839,1.882271374324486,0.5100000000000001,0.1,28.345,111,2,2.5,426
it,IT.MidClim.TH.08.Gen.ReEx.001.001,TH,1,0.1,0.4,0.67,0,1,1,1,0,0,0.5,0,0.9019545076934191,0.9902274615329048,0.42500000000000004,0,0,127,2,2.5,518.8
uk,GB.ENG.AB.01.ApartmentBuildings.SyAv.001.001,AB,6.5734429892539765,0.1,0.4,0.85,0,1,1,1,0.5,0,1,0,0.9261872468141852,1.714382595574444,0.42500000000000004,0.1,48.97276002918878,496.2841810399237,2.963203700833504,2.5,1302.4955805363206
uk,GB.ENG.AB.02-03.ApartmentBuildings.SyAv.002.001,AB,13.640224105603993,0.1,0.4,0.76,0,1,1,1,0.5,0,1,0,0.9420623454753531,1.2381296357394058,0.42500000000000004,0.1,77.18284321795541,886.781009039109,3.6535065490320093,2.5,1992.6288315171093
uk,GB.ENG.AB.04-08.ApartmentBuildings.SyAv.005.001,AB,17.212477056753745,0.1,0.4,0.85,0,1,1,1,0.5,0,1,0,0.9774387252900463,0.7256127470995374,0.42500000000000004,0.05,41.78861655824166,1080.1628299053398,3.749745575000498,2.5,2379.190068213197
uk,GB.ENG.SFH.01.Detached.SyAv.001.001,SFH,1,0.1,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8382194611990145,2.853416164029567,0.42500000000000004,0.10000000000000002,43.9928933857243,216.36819335386272,2,2.5,515.4559857560165
uk,GB.ENG.SFH.02-03.Detached.SyAv.002.001,SFH,1,0.1,0.4,0.76,0,1,1,1,0.5,0,1,0,0.8563669826106014,2.3089905216819577,0.42500000000000004,0.1,32.99078272812292,149.38480923667984,2,2.5,345.48870202065694
uk,GB.ENG.SFH.04-08.Detached.SyAv.005.001,SFH,1,0.1,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8771428003489746,1.6857159895307605,0.42500000000000004,0.05,15.74485712145276,144.30750456803676,2,2.5,333.0571949317166
uk,GB.ENG.TH.01.Terraced.SyAv.001.001,TH,1,0.1,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8468786557126701,2.5936403286198986,0.42500000000000004,0.09999999999999999,20.2720843465299,110.07855043360237,2,2.5,278.1025080174818
uk,GB.ENG.TH.02-03.Terraced.SyAv.002.001,TH,1,0.1,0.4,0.76,0,1,1,1,0.5,0,1,0,0.8593218223800251,2.22034532859925,0.42500000000000004,0.1,19.060729307042674,91.23395242713237,2,2.5,225.26601162222465
uk,GB.ENG.TH.04-08.Terraced.SyAv.005.001,TH,1,0.1,0.4,0.85,0,1,1,1,0.5,0,1,0,0.8841416529980962,1.4757504100571146,0.42500000000000004,0.05,8.355779750414255,85.58117324582525,2,2.5,198.8098419912701
