excluded_id,prepared_neighbor_id,excluded_blocker_key,prepared_blocker_key,excluded_epc_age_band,prepared_epc_age_band,excluded_storeys,prepared_storeys,excluded_building_type,prepared_building_type,prepared_tabula_period,differing_field
way/1430549423,way/298846083,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549424,way/1430549427,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,D|E,2.0,2.0,TH,TH,GB.04,epc_certificate_found
way/1430549434,way/298846069,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,D|E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549437,way/1430549438,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,D|F,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549448,way/1430549449,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,D|E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549448,way/1430549447,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,D|F,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549456,way/1430549457,PERIOD_STRADDLE_F_GB.04_GB.05,,PERIOD_STRADDLE_F_GB.04_GB.05,D|E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549456,way/298846076,PERIOD_STRADDLE_F_GB.04_GB.05,,PERIOD_STRADDLE_F_GB.04_GB.05,D|E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549459,way/1430549458,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549468,way/1430549467,PERIOD_STRADDLE_F_GB.04_GB.05,,PERIOD_STRADDLE_F_GB.04_GB.05,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549476,way/1430549477,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549478,way/1430549479,PERIOD_STRADDLE_DISJOINT_BANDS_D|H,,PERIOD_STRADDLE_DISJOINT_BANDS_D|H,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549478,way/1430549477,PERIOD_STRADDLE_DISJOINT_BANDS_D|H,,PERIOD_STRADDLE_DISJOINT_BANDS_D|H,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1430549488,way/298846075,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,D|E,2.0,2.0,TH,TH,GB.04,epc_certificate_found
way/1430549488,way/1430549489,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,C|D,2.0,2.0,TH,TH,GB.03,epc_certificate_found
way/1430549490,way/1430549489,PERIOD_STRADDLE_DISJOINT_BANDS_B|D|E,,PERIOD_STRADDLE_DISJOINT_BANDS_B|D|E,C|D,2.0,2.0,TH,TH,GB.03,epc_age_band
way/1430549491,way/1430549492,PERIOD_STRADDLE_D_GB.03_GB.04,,PERIOD_STRADDLE_D_GB.03_GB.04,D|E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1432575673,way/1432575672,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,B|C,,2.0,TH,TH,GB.02,storeys
way/1432575675,way/1432575676,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,,3.0,TH,TH,GB.01,storeys
way/1432575677,way/1432575676,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A,3.0,3.0,TH,TH,GB.01,epc_age_band
way/1432575680,way/389891684,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,,3.0,TH,TH,GB.01,storeys
way/1432575693,way/1432575694,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,,2.0,TH,TH,GB.01,storeys
way/1432575697,way/1432575696,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A|B,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1432575697,way/1432575698,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A|B,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1432575713,way/1432575708,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,I,,2.0,TH,TH,GB.06,storeys
way/1432575721,way/1432575722,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,,3.0,TH,TH,GB.05,storeys
way/1432575724,way/1432575723,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,G,,2.0,TH,TH,GB.05,storeys
way/1432575738,way/1432575737,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,,2.0,TH,TH,GB.01,storeys
way/1432575742,way/1432575743,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,A,,2.0,TH,TH,GB.01,storeys
way/1432575744,way/1432575743,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1432575744,way/1432575745,PERIOD_STRADDLE_B_GB.01_GB.02,,PERIOD_STRADDLE_B_GB.01_GB.02,A,2.0,2.0,TH,TH,GB.01,epc_age_band
way/1433131819,way/1433131818,MISSING_OBSERVED_EPC_AGE_BAND,,MISSING_OBSERVED_EPC_AGE_BAND,C|D,2.0,2.0,TH,TH,GB.03,epc_certificate_found
way/1433131821,way/1433131822,PERIOD_STRADDLE_F_GB.04_GB.05,,PERIOD_STRADDLE_F_GB.04_GB.05,E,2.0,2.0,TH,TH,GB.04,epc_age_band
way/1433131823,way/1433131822,PERIOD_STRADDLE_F_GB.04_GB.05,,PERIOD_STRADDLE_F_GB.04_GB.05,E,2.0,2.0,TH,TH,GB.04,epc_age_band
