cell,osm_id,archetype_id,source_storey_count,auto_storey_count,layout_assign_storey_count,layout_assign_storey_count_naive,layout_assign_storey_count_floor,agree,diff_layout_assign_minus_auto,layout_assign_no_baseline_fallback,layout_assign_match_storeys_status,auto_zone_multiplier_gt1,auto_zone_multiplier_max,layout_assign_zone_multiplier_gt1,layout_assign_zone_multiplier_max,auto_attic_zone_count,layout_assign_z_origin_collapse_risk
austin_centre,way/328622251,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328622252,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622253,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622254,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622255,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622256,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622257,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622258,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622259,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622260,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622261,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622262,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622263,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622264,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622265,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622267,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622268,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622269,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622270,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622271,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328622272,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631273,RetailStandalone,1,1,1,1,1,True,0,False,identity,False,,False,,0,False
austin_centre,way/328631274,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631275,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631276,FullServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631277,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631279,HighriseApartment,47,47,3,1,3,False,-44,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/328631281,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631283,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631284,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631287,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631289,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631290,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631294,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631295,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328631296,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634432,TallBuilding,22,22,11,1,20,False,-11,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/328634434,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634437,QuickServiceRestaurant,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634439,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634441,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328634445,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634447,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634449,HighriseApartment,12,12,3,1,3,False,-9,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/328634450,SmallOffice,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328634454,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634456,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634458,QuickServiceRestaurant,2,2,1,1,2,False,-1,False,identity,False,,False,,0,False
austin_centre,way/328634462,SmallOffice,3,3,1,1,2,False,-2,False,fallback_not_expressible,False,,False,,0,False
austin_centre,way/328634464,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328634466,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328644611,Courthouse,1,1,1,1,1,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/328644612,Courthouse,3,3,3,3,3,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/328644613,Courthouse,10,10,10,10,10,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/328644614,Courthouse,1,1,1,1,1,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/328644615,TallBuilding,20,20,11,1,20,False,-9,False,identity,False,,False,,0,True
austin_centre,way/328644616,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328644617,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328644618,SmallOffice,1,1,1,1,2,True,0,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328644620,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328644621,Courthouse,3,3,3,3,3,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/328644622,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328644625,SuperTallBuilding,42,42,16,1,30,False,-26,False,fallback_not_expressible,False,,False,,0,True
austin_centre,way/328649859,Courthouse,2,2,2,2,2,True,0,True,no_baseline_fallback_auto,False,,False,,0,False
austin_centre,way/328649869,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328649870,MediumOffice,1,1,3,3,3,False,2,False,fallback_shorter,False,,False,,0,False
austin_centre,way/328649873,LargeOffice,4,4,4,4,4,True,0,False,identity,False,,False,,0,False
