cell,stem,status,n_converge_warnings,n_vol_stub,n_temp_out_of_bounds,completed,n_severe_lines,bytes
nyc_centre,way_265302091,success,0,76,0,True,0,66446
nyc_centre,way_265302092,success,0,48,0,True,0,43552
nyc_centre,way_265302094,success,0,16,0,True,0,18598
nyc_centre,way_265302095,success,0,23,0,True,0,23941
nyc_centre,way_265302097,success,0,36,0,True,0,34473
nyc_centre,way_265302098,success,0,8,0,True,0,12518
nyc_centre,way_265302100,success,0,72,0,True,0,63062
nyc_centre,way_265302101,success,0,15,0,True,0,18073
nyc_centre,way_265302103,success,0,13,0,True,0,16483
nyc_centre,way_265302106,success,0,1,0,True,0,7985
nyc_centre,way_265302107,success,0,4,0,True,0,14012
nyc_centre,way_265302108,success,0,26,0,True,0,26820
nyc_centre,way_265302110,success,0,7,0,True,0,18869
nyc_centre,way_265302111,success,0,5,0,True,0,16219
nyc_centre,way_265302112,success,0,25,0,True,0,25715
nyc_centre,way_265302115,success,0,27,0,True,0,27281
nyc_centre,way_265302116,success,0,14,0,True,0,17278
nyc_centre,way_265302117,success,0,22,0,True,0,23314
nyc_centre,way_265302118,success,0,26,0,True,0,26512
nyc_centre,way_265302121,success,0,1,0,True,0,7980
nyc_centre,way_265302122,success,0,4,0,True,0,12938
nyc_centre,way_265302123,success,0,102,0,True,0,86998
nyc_centre,way_265302124,success,0,27,0,True,0,27476
nyc_centre,way_265302125,success,0,96,0,True,0,82265
nyc_centre,way_265302141,success,0,21,0,True,0,22678
nyc_centre,way_265302142,success,0,64,0,True,0,56632
nyc_centre,way_265302143,success,0,72,0,True,0,62692
nyc_centre,way_265302147,success,0,48,0,True,0,44030
nyc_centre,way_265302149,success,0,15,0,True,0,18073
nyc_centre,way_265302151,success,0,24,0,True,0,25087
nyc_centre,way_265302152,success,0,1,0,True,0,8156
nyc_centre,way_265302154,success,0,72,0,True,0,62943
nyc_centre,way_265302156,success,0,26,0,True,0,26680
nyc_centre,way_265302157,success,0,14,0,True,0,17612
nyc_centre,way_265302158,success,0,22,0,True,0,23336
nyc_centre,way_265302159,success,0,32,0,True,0,31457
nyc_centre,way_265302160,success,0,22,0,True,0,23495
nyc_centre,way_265302161,success,0,9,0,True,0,13308
nyc_centre,way_265302163,success,0,76,0,True,0,65858
nyc_centre,way_265302164,success,0,21,0,True,0,22678
nyc_centre,way_265302165,success,0,1,0,True,0,8156
nyc_centre,way_265302168,success,0,16,0,True,0,19020
nyc_centre,way_265302169,success,0,24,0,True,0,24919
nyc_centre,way_265302170,success,0,13,0,True,0,16483
nyc_centre,way_265302172,success,0,1,0,True,0,8805
nyc_centre,way_265302177,success,0,4,0,True,0,15132
nyc_centre,way_265320169,success,0,5,0,True,0,9850
nyc_centre,way_265320175,success,0,78,0,True,0,67560
nyc_centre,way_265320176,success,0,4,0,True,0,11694
nyc_centre,way_265320177,success,0,4,0,True,0,9208
nyc_centre,way_265320178,success,0,4,0,True,0,9208
nyc_centre,way_265320179,success,0,52,0,True,0,47134
nyc_centre,way_265320181,success,0,4,0,True,0,10743
nyc_centre,way_265320244,success,0,96,0,True,0,82037
nyc_centre,way_265320250,success,0,20,0,True,0,21746
nyc_centre,way_265320251,success,0,1,0,True,0,6837
nyc_centre,way_265320254,success,0,24,0,True,0,25205
nyc_centre,way_265320258,success,0,1,0,True,0,6837
nyc_centre,way_265424275,success,0,30,0,True,0,29676
nyc_centre,way_265424277,success,0,15,0,True,0,17905
nyc_centre,way_265424278,success,0,14,0,True,0,17444
nyc_centre,way_265424281,success,0,11,0,True,0,14893
nyc_centre,way_265424282,success,0,15,0,True,0,17905
nyc_centre,way_265424283,success,0,4,0,True,0,12774
nyc_centre,way_265424285,success,0,14,0,True,0,17278
nyc_centre,way_265424286,success,0,7,0,True,0,17796
nyc_centre,way_265424287,success,0,24,0,True,0,24904
nyc_centre,way_265424288,success,0,6,0,True,0,15594
nyc_centre,way_265424289,success,0,6,0,True,0,15016
nyc_centre,way_265424290,success,0,5,0,True,0,16225
nyc_centre,way_265424292,success,0,23,0,True,0,24109
nyc_centre,way_265424293,success,0,7,0,True,0,11728
nyc_centre,way_265424315,success,0,6,0,True,0,18252
nyc_centre,way_265424318,success,0,7,0,True,0,16384
nyc_centre,way_265424322,success,0,7,0,True,0,20279
nyc_centre,way_265424325,success,0,7,0,True,0,19036
nyc_centre,way_265424328,success,0,9,0,True,0,23102
nyc_centre,way_265424331,success,0,1,0,True,0,7986
nyc_centre,way_265424333,success,0,12,0,True,0,15520
nyc_centre,way_265424344,success,0,4,0,True,0,12937
nyc_centre,way_265424350,success,0,8,0,True,0,12368
nyc_centre,way_265424359,success,0,20,0,True,0,22048
nyc_centre,way_265424368,success,0,1,0,True,0,6898
nyc_centre,way_265424370,success,0,1,0,True,0,8154
nyc_centre,way_265424373,success,0,14,0,True,0,17278
nyc_centre,way_265424380,success,0,1,0,True,0,8153
nyc_centre,way_265424381,success,0,1,0,True,0,8156
nyc_centre,way_265424383,success,0,132,0,True,0,110427
nyc_centre,way_265424392,success,0,30,0,True,0,29835
nyc_centre,way_265424396,success,0,20,0,True,0,21556
nyc_centre,way_265424408,success,0,1,0,True,0,8145
nyc_centre,way_265424410,success,0,26,0,True,0,26495
nyc_centre,way_265424412,success,0,17,0,True,0,19495
nyc_centre,way_265424415,success,0,52,0,True,0,46694
nyc_centre,way_265424423,success,0,48,0,True,0,43968
nyc_centre,way_265424428,success,0,80,0,True,0,69614
nyc_centre,way_265424430,success,0,20,0,True,0,21776
nyc_centre,way_265424435,success,0,23,0,True,0,23941
nyc_centre,way_265424438,success,0,1,0,True,0,8156
nyc_centre,way_265424440,success,0,78,0,True,0,67933
nyc_centre,way_265424444,success,0,56,0,True,0,102513
nyc_centre,way_265424453,success,0,84,0,True,0,73009
nyc_centre,way_265424462,success,0,42,0,True,1,91711
nyc_centre,way_265424467,success,0,72,0,True,0,63338
nyc_centre,way_265427625,success,0,8,0,True,0,12350
nyc_centre,way_265427666,success,0,1,0,True,0,7980
nyc_centre,way_265875541,success,0,22,0,True,0,23314
nyc_centre,way_265875558,success,0,8,0,True,0,12518
nyc_centre,way_265875565,success,0,7,0,True,0,14064
nyc_centre,way_265875568,success,0,3,0,True,0,8418
nyc_centre,way_265875576,success,0,6,0,True,0,17005
nyc_centre,way_265875579,success,0,6,0,True,0,10788
nyc_centre,way_265875581,success,0,96,0,True,0,82037
nyc_centre,way_265875590,success,0,6,0,True,0,14517
nyc_centre,way_265875593,success,0,6,0,True,0,18078
nyc_centre,way_265875600,success,0,7,0,True,0,16842
nyc_centre,way_265875605,success,0,6,0,True,0,10788
nyc_centre,way_265875616,success,0,6,0,True,0,18246
nyc_centre,way_265875622,success,0,76,0,True,0,65858
nyc_centre,way_265875628,success,0,4,0,True,0,9208
nyc_centre,way_265875636,success,0,1,0,True,0,7916
nyc_centre,way_265875639,success,0,17,0,True,0,19495
nyc_centre,way_265875648,success,0,67,0,True,0,62739
nyc_centre,way_265875649,success,0,43,0,True,0,40248
nyc_centre,way_265875652,success,0,30,0,True,0,29865
nyc_centre,way_265875655,success,0,45,0,True,0,42390
nyc_centre,way_265875658,success,0,19,0,True,0,21334
nyc_centre,way_265875661,success,0,6,0,True,0,15761
nyc_centre,way_265875663,success,0,1,0,True,0,7986
nyc_centre,way_265875670,success,0,23,0,True,0,24109
nyc_centre,way_265875679,success,0,75,0,True,1,121597
nyc_centre,way_265875682,success,0,1,0,True,0,8148
nyc_centre,way_265932612,success,0,1,0,True,0,7980
nyc_centre,way_265932613,success,0,3,0,True,0,9935
nyc_centre,way_265947358,success,0,14,0,True,0,17169
