osm_id,n_warmup_severes_true,converged_true,n_warmup_severes_false,converged_false,eui_true,eui_false,pct_delta
way_270445759,5,False,0,True,84.08888888888889,85.35833333333333,-1.4871945068176657
way_304840787,1,False,0,True,73.70833333333334,74.46388888888889,-1.0146603499085927
way_304842005,1,False,0,True,92.18611111111112,93.84444444444443,-1.7671086905043636
way_304843764,1,False,0,True,81.91388888888888,83.10000000000001,-1.427329856932769
way_304844050,1,False,0,True,81.825,83.0111111111111,-1.4288582519073654
way_304844576,3,False,0,True,76.08333333333333,77.0,-1.1904761904761967
way_304845359,1,False,0,True,80.05555555555556,81.15277777777777,-1.3520451822693724
way_304846569,1,False,0,True,88.21944444444443,89.68055555555556,-1.6292395849465826
way_304846947,1,False,3,False,77.81388888888888,78.81944444444444,-1.275770925110138
way_304847115,2,False,0,True,83.61944444444444,84.88055555555555,-1.4857479464607066
way_304847237,0,True,0,True,90.45833333333333,92.03055555555555,-1.7083698047146183
way_334332029,0,True,0,True,89.50555555555556,91.04166666666667,-1.687261632341724
way_384757942,0,True,0,True,90.475,92.04444444444445,-1.7050941574118919
way_385036709,1,False,0,True,81.91944444444445,83.10833333333333,-1.4305290952237637
way_772626975,1,False,0,True,86.44722222222221,87.78888888888889,-1.5282875585369124
way_772626976,2,False,0,True,83.075,84.30833333333332,-1.4628842542255454
way_772626977,1,False,0,True,82.41944444444444,83.61111111111111,-1.4252491694352283
way_772626978,0,True,0,True,91.67777777777778,93.29444444444445,-1.732864884177939
way_772626980,0,True,0,True,89.16111111111111,90.67777777777778,-1.6725891434873168
way_772626981,1,False,0,True,88.90833333333333,90.41388888888889,-1.6651817260130926
way_772626982,1,False,0,True,88.24722222222222,89.70833333333333,-1.6287350983124296
way_772626983,0,True,0,True,91.46944444444445,93.08888888888889,-1.7396753401766485
way_772626986,1,False,0,True,107.375,109.63333333333333,-2.0598966251140096
way_772626987,2,False,0,True,90.61944444444445,92.2,-1.7142684984333498
way_772626989,2,False,0,True,95.15,96.96944444444443,-1.8763069695493837
way_772626992,4,False,0,True,83.46388888888889,84.71666666666667,-1.4787854941307652
way_772626993,1,False,0,True,103.31944444444444,105.46666666666667,-2.0359249894648155
way_772626994,5,False,0,True,83.81944444444444,85.08055555555556,-1.4822553788892983
