cell,osm_id,archetype_id,use_class,base_storeys_geometry_fallback,treated_storeys_archetype_fallback,recovered_lev_src,archetype_consumed_group_median_today,genuine_disagreement,eligible_for_intervention,tier,footprint_area_m2,on_record_total_eui_kwh_m2
austin_centre,way/328607264,QuickServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,355.09492220369975,1482.6352116174344
austin_centre,way/328607266,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,430.41042827051194,95.63792419105825
austin_centre,way/328607274,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,245.46620618623015,108.62612026669076
austin_centre,way/328607279,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,52.69128729603594,141.89569444885518
austin_centre,way/328622249,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,206.44014289492867,97.35165649493425
austin_centre,way/328622250,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,248.75063347266848,104.86733146169182
austin_centre,way/328622252,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,270.94483516330223,96.54738046931064
austin_centre,way/328622253,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,284.07042094992084,95.4398797443929
austin_centre,way/328622254,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,259.381438411703,106.76655751089
austin_centre,way/328622255,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,272.6673041327955,96.39353672170829
austin_centre,way/328622256,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,57.42147840890329,134.9695299196622
austin_centre,way/328622257,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,179.86555314948845,115.02601142413178
austin_centre,way/328622258,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,197.69913833251337,98.42898950662097
austin_centre,way/328622259,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,303.0947715643389,93.7542392846467
austin_centre,way/328622260,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,288.38012507711994,100.57112065974732
austin_centre,way/328622261,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,264.0473189177209,112.30124498422327
austin_centre,way/328622262,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,693.870585610919,122.56500179441768
austin_centre,way/328622263,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,79.99969393568637,111.39879092027964
austin_centre,way/328622264,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,233.35765558740204,94.88600691762475
austin_centre,way/328622265,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,275.0958563111559,104.8731103396243
austin_centre,way/328622267,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,274.0010329716159,108.51235498427916
austin_centre,way/328622268,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,525.0368233367408,133.7818178061513
austin_centre,way/328622269,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,289.6977356632981,94.76353067731895
austin_centre,way/328622270,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,121.08895041581867,121.28107048066876
austin_centre,way/328622271,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,156.26884264814097,100.17351788755072
austin_centre,way/328622272,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,552.1721951173045,129.69988963835914
austin_centre,way/328631273,RetailStandalone,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,572.566236953661,160.48000366238412
austin_centre,way/328631274,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,295.96197393857693,92.60134392947089
austin_centre,way/328631275,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,678.4635911403424,127.13127394686884
austin_centre,way/328631276,FullServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,279.96835326717405,1089.008994620424
austin_centre,way/328631277,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,683.0495761791518,130.56695001233987
austin_centre,way/328631281,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,531.5013269318329,128.3990470113648
austin_centre,way/328631284,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,738.589041283893,126.67542623864338
austin_centre,way/328631287,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,358.10078486726434,95.72163769056274
austin_centre,way/328631290,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,352.08554270279194,94.22138706807633
austin_centre,way/328631294,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,116.19815834545523,114.84568756960994
austin_centre,way/328631296,QuickServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,558.4256771025782,1406.448927973089
austin_centre,way/328634434,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,852.8744717771428,122.21993848492826
austin_centre,way/328634437,QuickServiceRestaurant,commercial,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,158.37189480165998,1595.1266457507083
austin_centre,way/328634439,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,177.40101207119756,103.20631554657096
austin_centre,way/328634445,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,316.2248033335307,98.1805143481077
austin_centre,way/328634447,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,366.8127625208064,100.35769171013592
austin_centre,way/328634454,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,754.2267643073505,126.23754291406576
austin_centre,way/328634456,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,676.9926092663983,129.70105409732287
austin_centre,way/328634464,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,247.73642724302096,105.4968561402912
austin_centre,way/328634466,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,780.14803319121,124.28193068256668
austin_centre,way/328644611,Courthouse,institutional,1,4,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1205.0559009389876,138.90522183705957
austin_centre,way/328644614,Courthouse,institutional,1,4,GROUPMEDIAN_LEVELS_MED,False,True,True,2,2534.672829637512,121.65058549012028
austin_centre,way/328644616,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1067.9716692647798,120.18968476159569
austin_centre,way/328644617,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,651.683571036367,128.88130834080354
austin_centre,way/328644618,SmallOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,407.41994008166546,91.13088290913134
austin_centre,way/328644620,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,607.3413415892286,133.8995274293873
austin_centre,way/328644622,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1032.9593191033402,121.9277283222404
austin_centre,way/328649869,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,1288.7264259954004,116.7566641035092
austin_centre,way/328649870,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,735.046540689335,125.77955349952752
austin_centre,way/328649882,MediumOffice,unknown,1,5,GROUPMEDIAN_LEVELS_MED,False,True,True,2,484.2591437099299,132.2156118653767
