=== COUNT VERIFICATION ===
corpus,extension,n_source,n_dest,count_match,n_missing_in_dest,n_extra_in_dest
open48_refleet,.err,8160,8160,True,0,0
open48_refleet,.eio,0,0,True,0,0
open48_refleet,.end,8160,8160,True,0,0
open48_refleet,.gpkg,24,24,True,0,0
open48_refleet,.csv,14,14,True,0,0
open48_refleet,.geojson,12,12,True,0,0
open48_refleet,.parquet,36,36,True,0,0
open48_refleet,.json,24,24,True,0,0
open48_refleet,.idf,16332,16332,True,0,0
open48_refleet3,.err,5215,5215,True,0,0
open48_refleet3,.eio,5215,5215,True,0,0
open48_refleet3,.end,5215,5215,True,0,0
open48_refleet3,.gpkg,17,17,True,0,0
open48_refleet3,.csv,9,9,True,0,0
open48_refleet3,.geojson,5,5,True,0,0
open48_refleet3,.parquet,30,30,True,0,0
open48_refleet3,.json,10,10,True,0,0
open48_refleet3,.idf,14213,14213,True,0,0
open48_refleet3_t02a3,.err,0,0,True,0,0
open48_refleet3_t02a3,.eio,0,0,True,0,0
open48_refleet3_t02a3,.end,0,0,True,0,0
open48_refleet3_t02a3,.gpkg,1,1,True,0,0
open48_refleet3_t02a3,.csv,0,0,True,0,0
open48_refleet3_t02a3,.geojson,0,0,True,0,0
open48_refleet3_t02a3,.parquet,2,2,True,0,0
open48_refleet3_t02a3,.json,0,0,True,0,0
open48_refleet3_t02a3,.idf,1589,1589,True,0,0
open48_refleet3_t02a4,.err,1589,1589,True,0,0
open48_refleet3_t02a4,.eio,1589,1589,True,0,0
open48_refleet3_t02a4,.end,1589,1589,True,0,0
open48_refleet3_t02a4,.gpkg,2,2,True,0,0
open48_refleet3_t02a4,.csv,1,1,True,0,0
open48_refleet3_t02a4,.geojson,1,1,True,0,0
open48_refleet3_t02a4,.parquet,3,3,True,0,0
open48_refleet3_t02a4,.json,2,2,True,0,0
open48_refleet3_t02a4,.idf,3178,3178,True,0,0
open48_refleet4,.err,8160,8160,True,0,0
open48_refleet4,.eio,8160,8160,True,0,0
open48_refleet4,.end,8160,8160,True,0,0
open48_refleet4,.gpkg,24,24,True,0,0
open48_refleet4,.csv,15,15,True,0,0
open48_refleet4,.geojson,12,12,True,0,0
open48_refleet4,.parquet,36,36,True,0,0
open48_refleet4,.json,24,24,True,0,0
open48_refleet4,.idf,16336,16336,True,0,0
open48_repeat,.err,738,738,True,0,0
open48_repeat,.eio,0,0,True,0,0
open48_repeat,.end,738,738,True,0,0
open48_repeat,.gpkg,2,2,True,0,0
open48_repeat,.csv,1,1,True,0,0
open48_repeat,.geojson,1,1,True,0,0
open48_repeat,.parquet,3,3,True,0,0
open48_repeat,.json,2,2,True,0,0
open48_repeat,.idf,1479,1479,True,0,0

=== HASH VERIFICATION (200 random + all .gpkg/.parquet) ===
corpus,extension,relpath,src_sha256,dst_sha256,status
open48_refleet,.gpkg,nyc_rural\results\05_results.gpkg,9d2067816cabdedc5b63c5dca473a32d85520a521cda40dcd54a860f1c9eb2eb,9d2067816cabdedc5b63c5dca473a32d85520a521cda40dcd54a860f1c9eb2eb,OK
open48_refleet,.gpkg,nyc_suburban\01_buildings.gpkg,39d3d375fdaa9afd43cd8bd0e11d193752b09ccd13ea180dca79500906f4679d,39d3d375fdaa9afd43cd8bd0e11d193752b09ccd13ea180dca79500906f4679d,OK
open48_refleet,.gpkg,nyc_suburban\results\05_results.gpkg,5be1a33945bc4887b922e3d178748944df5338dcfa52c291e826c979ac566454,5be1a33945bc4887b922e3d178748944df5338dcfa52c291e826c979ac566454,OK
open48_refleet,.gpkg,nyc_urban\01_buildings.gpkg,1000b56dc5e6cd78ab0e15bb2021b50a6bd241ebfc204c3a503051c7bd7bfcf9,1000b56dc5e6cd78ab0e15bb2021b50a6bd241ebfc204c3a503051c7bd7bfcf9,OK
open48_refleet,.gpkg,nyc_urban\results\05_results.gpkg,35c80c7e02bd6eb1e07391799ac4fc36db82d4a7ac9b84bba7d5768117716e04,35c80c7e02bd6eb1e07391799ac4fc36db82d4a7ac9b84bba7d5768117716e04,OK
open48_refleet,.idf,austin_rural\step3\idfs\way_1005416620.idf,7cb6bc9c68bd274ee17892d6b3ad2ebcc03ea780ff79f33db515328a20a78e6b,7cb6bc9c68bd274ee17892d6b3ad2ebcc03ea780ff79f33db515328a20a78e6b,OK
open48_refleet,.idf,austin_rural\step3\idfs\way_1450168670.idf,7b4383e46fdba2ce06a7c192da1b6181400d5ee4e6fb2603d292441c4b3e110a,7b4383e46fdba2ce06a7c192da1b6181400d5ee4e6fb2603d292441c4b3e110a,OK
open48_refleet,.idf,austin_urban\step3\idfs\way_381810647.idf,a7bac45314a496d97c53aa9f0bd69dad5f51077195880f9d582fe5794022ae9e,a7bac45314a496d97c53aa9f0bd69dad5f51077195880f9d582fe5794022ae9e,OK
open48_refleet,.idf,la_rural\fleet_staging\idfs\way_472961017.idf,fd0dcecdb928b5c4ee00b81249c5abc6ea89f2693fc694779823db04014d2898,fd0dcecdb928b5c4ee00b81249c5abc6ea89f2693fc694779823db04014d2898,OK
open48_refleet,.idf,la_suburban\fleet_staging\idfs\way_442622255.idf,6bdea27f7245565fbb6b07a99021139ff700c80f5dfb2f6f4e1b0ab6cc66e0f1,6bdea27f7245565fbb6b07a99021139ff700c80f5dfb2f6f4e1b0ab6cc66e0f1,OK
open48_refleet,.idf,la_urban\step3\idfs\way_401907380.idf,17d6b703ce9fe01b5b73b5ed536e2e82098f6f6922710aa5c8eadcd8bf3f2115,17d6b703ce9fe01b5b73b5ed536e2e82098f6f6922710aa5c8eadcd8bf3f2115,OK
open48_refleet,.idf,la_urban\step3\idfs\way_402255358.idf,625f809ffdca7b3a1129ddb1f2716214b7e83f7085d7f772d698b4e9bd8cf73a,625f809ffdca7b3a1129ddb1f2716214b7e83f7085d7f772d698b4e9bd8cf73a,OK
