cell,osm_id,archetype_id,num_floors,n_proto,old_status,old_multiplier,new_status,new_multiplier,changed
nyc_urban,way/241862608,SmallOffice,5,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862610,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862613,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862616,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862618,MediumOffice,9,3,applied,7.0,applied,7.0,False
nyc_urban,way/241862623,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862626,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862628,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862644,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862648,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862649,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862650,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862652,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862654,SmallOffice,1,2,fallback_shorter,,fallback_shorter,,False
nyc_urban,way/241862656,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862659,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862660,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862661,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862663,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862666,SmallOffice,6,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862668,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862677,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862679,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862682,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862684,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862685,MidriseApartment,2,3,fallback_shorter,,fallback_shorter,,False
nyc_urban,way/241862686,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862689,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862691,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862693,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862694,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862695,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862696,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862698,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862699,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862700,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862701,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862703,SmallOffice,5,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862704,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862705,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862706,SmallOffice,1,2,fallback_shorter,,fallback_shorter,,False
nyc_urban,way/241862707,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862709,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862712,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862713,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862714,SmallOffice,4,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862715,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862716,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862718,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862719,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862720,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862721,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862722,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862724,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862725,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862726,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862727,SmallOffice,2,2,identity,,identity,,False
nyc_urban,way/241862728,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
nyc_urban,way/241862729,SmallOffice,3,2,fallback_not_expressible,,fallback_not_expressible,,False
