mode,osm_id,archetype_id,floor_area_m2,status,has_fatal,zoning_strategy,num_zones,resolution_mode,heating_eui_kwh_m2,cooling_eui_kwh_m2,lighting_eui_kwh_m2,equipment_eui_kwh_m2,fans_eui_kwh_m2,pumps_eui_kwh_m2,dhw_eui_kwh_m2,total_eui_kwh_m2
auto,way/472960931,Warehouse,60.01566785955741,success,False,one_zone_per_floor,2,auto,18.57354780617898,0.0,4.863584967854609,11.300400315654294,1.4246476377199808,0.0,11.088684748051689,47.25086547545955
auto,way/472960932,Warehouse,68.16688906379218,success,False,one_zone_per_floor,2,auto,16.63995604511154,0.0,4.883027200958821,11.345573787190201,1.2574085510837436,0.0,9.881353157679468,44.00731874202378
auto,way/472960933,Warehouse,950.0711005348012,success,False,one_zone_per_floor,2,auto,5.1577344849378886,0.0,4.845279401804917,11.257867857450437,0.26808961241459484,0.0,1.2046385890861715,22.73360994569401
auto,way/472960934,Warehouse,174.46363276158667,success,False,one_zone_per_floor,2,auto,9.016011384373956,0.0,4.863584760190339,11.30039983315231,0.5081901547652272,0.0,4.282810620565718,29.970996753047555
building,way/472960895,MidriseApartment,206.87808236387656,success,False,single_zone,1,building,67.25594156327651,14.518823684029785,1.9827455804062224,21.699012839261066,11.161703321361978,0.0,18.87418494579895,135.4924119341345
building,way/472960999,MidriseApartment,106.55667836374124,success,False,single_zone,1,building,81.69315165119272,17.814504523913385,1.9460891947976124,21.29784821691997,14.587807520231992,0.0,21.767601950302094,159.1070030573578
building,way/472961028,MidriseApartment,75.2779891356327,success,False,single_zone,1,building,84.25053936732323,21.553440991134643,3.9654911691172003,43.39802576940872,15.782436713822264,0.0,40.01924619832926,208.96918020913535
building,way/472961029,MidriseApartment,64.70239900725761,success,False,single_zone,1,building,90.22619041189144,22.544006312777892,3.965491175380045,43.39802583794881,16.695860653561002,0.0,41.40039371126075,218.2299681028199
building,way/472961098,MidriseApartment,266.3294797152314,success,False,single_zone,1,building,58.70072617836898,13.303288010492288,1.9827455511749488,21.699012519356277,10.32865096012902,0.0,18.18496761754893,124.19939083707044
building,way/222366800,SmallOffice,149.94484356356114,success,False,single_zone,1,building,22.81557742979592,27.219791926673892,26.465100441814634,27.764777894078968,16.390704714544302,0.0,5.814074621951275,126.470027028859
building,way/472960967,SmallOffice,441.6645091840761,success,False,single_zone,1,building,19.37291837073858,20.39070965096631,13.256968648969934,13.908006542301278,12.016389210854244,0.0,2.171719960198717,81.11671238402907
building,way/472960970,SmallOffice,29.40207916414758,success,False,single_zone,1,building,54.99590791808035,68.7028270742905,26.46510168578203,27.764779199136495,41.593430479648426,0.0,24.5830604766139,244.10510683355173
building,way/472960971,SmallOffice,457.1761362533084,success,False,single_zone,1,building,17.420154344894808,18.365432346435508,13.137151774855141,13.782305568482043,10.782950806764031,0.0,2.118988720456829,75.60698356188836
