cell,osm_id,archetype_id,use_class,recovered_levels,recovered_lev_src,genuine_disagreement
nyc_suburban,way/845748870,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748873,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748879,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748880,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748881,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748882,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748883,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748884,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748885,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748886,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748887,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748888,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748890,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748892,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748893,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748894,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748895,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748896,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748897,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748898,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
nyc_suburban,way/845748899,MidriseApartment,residential,1,LEVELS_DEFAULT_LOW,False
