building_id,district,outcome_before,outcome_after,whole_before,whole_after,n_zones_before,n_zones_after,dwellings_after,floor_area_before,floor_area_after,area_delta_pct
way/360408493,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,34.3974,34.3974,0.0
way/360408496,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,36.1362,
way/360408497,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,33.5108,33.5108,0.0
way/360408500,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,34.0642,
way/360408501,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,36.645,36.645,0.0
way/360408502,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,32.9007,
way/360408503,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,29.4303,
way/360408504,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,31.2467,31.2467,0.0
way/360408505,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,26.7719,
way/360408506,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,40.5433,40.5433,0.0
way/360408507,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,34.5421,34.5421,0.0
way/360408508,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,31.0124,
way/360408511,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,44.5362,44.5362,0.0
way/360408512,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,33.3755,33.3755,0.0
way/360408513,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,31.9243,31.9243,0.0
way/360617971,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,34.2589,34.2589,0.0
way/360617972,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,38.2553,38.261,0.0149
way/360617973,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,36.3138,36.3138,0.0
way/360924345,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,79.0372,79.0372,0.0
way/360924347,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,78.8747,
way/360977294,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,34.8071,34.8071,0.0
way/360977296,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,41.185,41.185,0.0
way/360977297,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,39.8884,39.8884,0.0
way/360977298,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,40.4569,40.4569,0.0
way/360977299,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,41.2903,41.2903,0.0
way/360977300,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,36.2844,36.2844,0.0
way/360977301,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,41.1042,41.1042,0.0
way/360977302,GB-LDN-STDUNSTANS,NOT_PRESENT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,NA,N,,1,1,,40.8144,
way/360977303,GB-LDN-STDUNSTANS,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,DWELLING_LAYOUT_EMITTED_IMPUTED_COUNT,N,N,1,1,1,32.3134,32.3134,0.0
